norm_name_2,overall,pace,shooting,passing,dribbling,defending,physic,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,Sw,PasCrs,TI,CK,CkIn,CkOut,CkStr,PasCmp,PasOff,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Blocks,BlkSh,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,ToAtt,ToSuc,ToSuc%,ToTkl,ToTkl%,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,Rec,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%,norm_name
petergulacsi,85,,,,,,,85,84,76,83,85,43.0,1042,Péter Gulácsi,HUN,GK,RB Leipzig,Bundesliga,32,1990,6,6,540,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.5,35.8,87.9,709.5,380.8,7.33,7.33,100.0,18.7,18.7,100.0,5.5,9.83,55.9,0.0,0.0,0.5,0.0,0.0,0.0,35.8,28.8,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.5,0.0,0.0,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,37.5,30.0,37.5,0.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,23.7,104.2,50.5,0.0,0.0,0.0,0.0,0.0,19.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,petergulacsi
koencasteels,84,,,,,,,84,82,79,84,86,45.0,456,Koen Casteels,BEL,GK,Wolfsburg,Bundesliga,30,1992,20,20,1800,20.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.9,45.9,78.2,1095.0,760.6,5.05,5.05,100.0,15.1,15.2,99.0,15.7,25.5,61.6,0.05,0.0,1.1,0.0,0.0,0.05,45.9,33.5,12.3,3.6,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,35.9,0.05,0.0,0.2,0.15,0.05,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.25,0.0,48.0,34.5,47.5,0.45,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,28.7,138.7,79.3,0.0,0.05,0.05,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.05,0.0,100.0,koencasteels
yassinebounou,84,,,,,,,84,81,76,84,86,36.0,331,Yassine Bounou,MAR,GK,Sevilla,La Liga,31,1991,19,19,1665,18.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5,38.0,75.0,749.0,516.6,5.78,5.78,100.0,13.8,14.3,97.0,8.81,17.8,49.5,0.0,0.0,0.22,0.0,0.0,0.05,38.0,29.3,8.65,2.11,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,28.5,0.05,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.05,0.0,0.0,0.05,0.22,25.0,0.16,0.0,0.0,0.0,0.05,0.11,0.43,0.0,40.4,31.4,39.9,0.59,0.0,0.0,40.4,0.0,0.0,0.0,0.0,0.0,24.0,113.0,58.5,0.0,0.0,0.0,0.11,0.0,21.9,0.0,0.11,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.0,1.35,0.16,0.05,75.0,yassinebounou
gregorkobel,83,,,,,,,84,80,74,79,88,43.0,1303,Gregor Kobel,SUI,GK,Dortmund,Bundesliga,25,1997,16,16,1440,16.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.5,39.6,82.0,821.3,502.0,6.06,6.06,100.0,17.3,17.4,98.9,9.0,15.8,56.9,0.0,0.0,0.38,0.0,0.0,0.0,39.6,30.7,8.81,1.94,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,32.5,0.13,0.0,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.06,42.1,31.7,41.8,0.38,0.0,0.0,42.1,0.0,0.0,0.0,0.0,0.0,25.7,112.4,52.5,0.0,0.0,0.0,0.06,0.0,23.6,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,1.44,0.19,0.0,100.0,gregorkobel
kasperschmeichel,83,,,,,,,81,78,79,81,86,45.0,2232,Kasper Schmeichel,DEN,GK,Nice,Ligue 1,36,1986,21,21,1890,21.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.8,34.3,75.2,730.3,548.0,4.81,4.81,100.0,11.1,11.5,96.7,9.71,17.8,54.7,0.0,0.05,0.19,0.0,0.0,0.0,34.3,23.4,10.9,2.71,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,25.8,0.05,0.05,0.43,0.29,0.14,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.05,0.0,0.05,0.05,0.05,0.19,0.0,36.2,32.0,36.0,0.14,0.0,0.0,36.2,0.0,0.0,0.0,0.0,0.0,23.7,112.0,57.2,0.0,0.0,0.0,0.1,0.0,16.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.14,0.0,100.0,kasperschmeichel
oliverbaumann,83,,,,,,,83,82,79,79,84,49.0,216,Oliver Baumann,GER,GK,Hoffenheim,Bundesliga,32,1990,20,20,1800,20.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,43.5,80.6,850.1,578.4,9.0,9.0,100.0,16.9,17.1,98.8,8.85,16.9,52.4,0.0,0.05,0.55,0.0,0.0,0.05,43.5,35.1,8.15,2.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.15,0.05,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.05,45.8,36.0,45.3,0.45,0.0,0.0,45.8,0.0,0.0,0.0,0.0,0.0,29.1,125.8,66.1,0.0,0.0,0.0,0.0,0.0,25.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85,0.45,0.0,100.0,oliverbaumann
aaronramsdale,82,,,,,,,83,77,85,78,84,48.0,2036,Aaron Ramsdale,ENG,GK,Arsenal,Premier League,24,1998,21,21,1890,21.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2,28.9,66.5,500.1,353.0,5.05,5.29,95.5,8.52,8.67,98.4,5.62,14.8,38.1,0.0,0.0,0.86,0.1,0.0,0.24,28.9,22.7,6.1,2.24,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,19.2,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.05,0.0,0.0,0.05,0.05,100.0,0.0,0.0,0.0,0.0,0.0,0.05,0.62,0.19,31.0,22.4,30.4,0.57,0.0,0.0,31.0,0.05,0.05,100.0,0.0,0.0,19.0,106.9,68.1,0.0,0.05,0.0,0.0,0.0,15.9,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.05,0.0,0.0,0.0,0.67,0.14,0.0,100.0,aaronramsdale
andreonana,82,,,,,,,81,80,86,80,83,61.0,1844,André Onana,CMR,GK,Inter,Serie A,26,1996,13,13,1170,13.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.8,40.4,78.9,799.6,544.8,8.31,8.31,100.0,14.3,14.8,96.9,9.0,17.0,52.9,0.0,0.08,0.46,0.0,0.0,0.15,40.4,32.3,8.0,0.92,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,31.8,0.08,0.0,0.23,0.15,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,42.0,36.1,41.2,0.77,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,27.6,130.5,82.2,0.0,0.0,0.0,0.0,0.0,24.4,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,andreonana
jordanpickford,82,,,,,,,84,77,87,80,87,51.0,1972,Jordan Pickford,ENG,GK,Everton,Premier League,28,1994,20,20,1800,20.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.8,36.8,61.8,726.7,552.5,5.4,5.45,99.1,7.3,7.35,99.3,9.85,23.6,41.7,0.05,0.1,1.45,0.05,0.0,0.05,36.8,24.1,12.5,3.6,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,22.8,0.15,0.05,0.3,0.15,0.15,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.65,0.1,40.0,29.9,39.0,1.05,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,21.4,130.3,85.8,0.0,0.0,0.0,0.05,0.05,16.9,0.0,0.2,0.0,0.0,0.05,0.1,0.0,0.0,0.0,0.0,0.05,0.0,0.95,0.2,0.15,57.1,jordanpickford
ruipatricio,82,,,,,,,82,80,77,80,83,55.0,1910,Rui Patrício,POR,GK,Roma,Serie A,34,1988,22,22,1980,22.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.2,25.7,78.4,522.9,342.3,4.45,4.45,100.0,9.59,9.73,98.6,6.05,11.4,53.0,0.0,0.0,0.14,0.0,0.0,0.0,25.7,16.4,9.27,1.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.2,0.05,0.0,0.09,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.05,0.0,0.0,0.05,0.05,100.0,0.0,0.0,0.0,0.0,0.09,0.14,0.18,0.09,26.9,24.6,26.8,0.09,0.0,0.0,26.9,0.0,0.0,0.0,0.0,0.0,14.3,79.9,43.4,0.0,0.0,0.0,0.05,0.0,10.7,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,1.18,0.05,0.0,100.0,ruipatricio
anthonylopes,82,,,,,,,84,78,71,80,86,63.0,1457,Anthony Lopes,POR,GK,Lyon,Ligue 1,32,1990,19,19,1646,18.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.1,29.3,78.7,584.0,413.3,5.08,5.08,100.0,11.6,11.7,99.1,6.28,12.3,51.1,0.0,0.0,0.16,0.0,0.0,0.0,29.3,20.7,8.47,2.3,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,23.1,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.05,0.05,100.0,0.0,0.0,0.0,0.0,0.05,0.11,0.38,0.0,31.3,26.3,31.1,0.27,0.0,0.0,31.3,0.05,0.0,0.0,0.05,100.0,21.3,113.4,76.2,0.0,0.0,0.0,0.0,0.0,13.8,0.0,0.05,0.05,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.05,0.0,0.98,0.05,0.0,100.0,anthonylopes
geronimorulli,82,,,,,,,82,79,80,81,83,54.0,2143,Gerónimo Rulli,ARG,GK,Villarreal,La Liga,30,1992,14,14,1260,14.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.1,38.8,85.5,848.3,553.7,5.86,5.93,98.8,19.3,19.4,99.6,7.79,13.1,59.2,0.0,0.0,0.43,0.0,0.0,0.0,38.8,29.9,8.86,2.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.1,0.0,0.14,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,0.43,0.14,41.4,34.0,41.2,0.21,0.0,0.0,41.4,0.0,0.0,0.0,0.0,0.0,23.9,113.6,75.8,0.0,0.0,0.0,0.0,0.0,20.2,0.0,0.07,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,1.43,0.21,0.0,100.0,geronimorulli
alphonseareola,81,,,,,,,85,79,75,78,84,55.0,117,Alphonse Areola,FRA,GK,West Ham,Premier League,29,1993,2,0,107,1.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.2,35.0,69.0,710.0,580.0,7.5,7.5,100.0,8.33,8.33,100.0,8.33,18.3,45.5,0.0,0.0,0.0,0.0,0.0,0.0,35.0,25.0,9.17,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.2,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.8,34.2,35.8,0.0,0.0,0.0,35.8,0.0,0.0,0.0,0.0,0.0,21.7,76.7,35.8,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.83,0.0,0.0,0.0,alphonseareola
